יום,תאריך,אזור,מלון,אטרקציות,מסעדות,הערות חניה
1,29 ביוני (יום שני),הגעה למדריד ונסיעה לסלמנקה,Salamanca Suite Studios,"אל אסקוריאל, חומות אווילה, פלאסה מיור סלמנקה",מסעדת El Mesón de Gonzalo,"חניונים בתשלום כ-16 יורו"
2,30 ביוני (יום שלישי),סלמנקה לעמק הדואורו (למגו),Casinha da Ti'Augusta,"שוק סלמנקה (אופציונלי), טירת למגו",A Casa da Rua (למגו),"חניה צמודה וחינמית בדירה"
3,1 ביולי (יום רביעי),עמק הדואורו: שייט ותצפיות,Casinha da Ti'Augusta,"מדרגות כנסיית רמדיוש, תחנת פיניאו + שייט, תצפית Casal de Loivos, נסיעת הנוף N222 ומוזיאון הדואורו",Veladouro (פיניאו),"חניון ציבורי קרוב לתחנה בפיניאו"
4,2 ביולי (יום חמישי),ברסלוס בראגה וגימראייש לפורטו,Porto Belo Bolhao,"שוק ברסלוס, בום ז'זוש בראגה, המרכז ההיסטורי גימראייש",Taberna das Taipas (ליד גימראייש),"חניה צמודה בדירת פורטו"
5,3 ביולי (יום שישי),פורטו: עיר היין,Porto Belo Bolhao,"מגדל קלריגוש וללו, שוק בוליאו, תחנת סן בנטו, גשר דום לואיס והריביירה, מרתפי יין של וילה נובה דה גאיה",Casa Guedes (פורטו),"אין צורך ברכב, חניון תת-קרקעי בדירה"
6,4 ביולי (יום שבת),אביירו קוסטה נובה ונזארה,Batata Estúdios,"אביירו, בתי הפסים בקוסטה נובה, מצוקי נזארה",A Tasquinha (נזארה),"חניון פתוח לאורך חוף נזארה"
7,5 ביולי (יום ראשון),פניש אובידוש וסינטרה,Ouro Rossio Hotel,"תצפית קאבו קארבואירו, אובידוש, אחוזת קינטה דה רגאליירה, פארק פנה — הארמון הצבעוני","ליקר דובדבנים באובידוש","חניון מסודר באובידוש. חניון תת-קרקעי בליסבון"
8,6 ביולי (יום שני),ליסבון: אלפמה ובלם,Ouro Rossio Hotel,"סיור רגלי חינמי, רובע אלפמה, מגדל בלם וז'רונימוש, LX Factory",Pastéis de Belém,"התניידות באובר ובתחבורה ציבורית"
9,7 ביולי (יום שלישי),ליסבון: פשפשים ואוכל,Ouro Rossio Hotel,"שוק הפשפשים (Feira da Ladra), פארק האומות והאוקיינריום, שוק האוכל Time Out",Zé dos Cornos,"התניידות פנימית בלבד"
10,8 ביולי (יום רביעי),המעגל הקדום ואבורה,CICIOSO flats,"מעגל האבנים באלמנדרש, קפלת העצמות, המקדש הרומי",Taberna Típica Quarta-Feira,"חניה ציבורית חינמית ליד החומות"
11,9 ביולי (יום חמישי),מרידה הרומית וצ'ינצ'ון,Condesa de Chinchón,"התיאטרון הרומי במרידה, גשר לוסיטניה, הפלאסה מיור של צ'ינצ'ון",Mesón Cuevas del Vino (צ'ינצ'ון),"חניון חינם לאורחי המלון"
12,10 ביולי (יום שישי),נסיעה למדריד חזרה,---,"נסיעה קצרה לשדה התעופה במדריד",---,"החזרת רכב בשדה"
